-1024, -674.579, -685.585
-1023, -681.397, -681.323
-1022, -681.308, -681.233
-1021, -680.421, -680.346
-1020, -681.034, -680.959
-1019, -685.656, -686.065
-1018, -677.437, -678.362
-1017, -677.42, -677.346
-1016, -677.745, -677.671
-1015, -679.839, -679.765
-1014, -683.342, -685.097
-1013, -680.788, -680.713
-1012, -680.927, -680.853
-1011, -682.788, -682.713
-1010, -682.32, -682.246
-1009, -702.892, -702.733
-1008, -678.225, -678.151
-1007, -679.447, -680.372
-1006, -680.232, -680.158
-1005, -679.86, -679.786
-1004, -709.207, -711.969
-1003, -674.873, -674.799
-1002, -680.654, -680.58
-1001, -682.597, -682.522
-1000, -682.719, -682.645
-999, -680.713, -681.438
-998, -676.41, -676.336
-997, -677.842, -677.767
-996, -677.849, -677.774
-995, -676.739, -676.665
-994, -674.146, -674.072
-993, -671.108, -672.138
-992, -663.247, -663.172
-991, -660.223, -660.149
-990, -646.593, -646.518
-989, -652.486, -652.412
-988, -558.529, -562.211
-987, -416.353, -416.279
-986, -369.656, -370.978
-985, -356.669, -356.594
-984, -362.233, -362.158
-983, -356.055, -356.932
-982, -355.026, -354.951
-981, -355.819, -355.744
-980, -359.996, -359.921
-979, -357.91, -361.745
-978, -361.093, -362.162
-977, -364.261, -364.186
-976, -366.072, -365.998
-975, -372.775, -372.701
-974, -368.994, -366.124
-973, -370.99, -370.104
-972, -376.687, -376.612
-971, -377.453, -377.378
-970, -382.293, -382.219
-969, -387.647, -385.01
-968, -392.2, -391.389
-967, -391.977, -391.902
-966, -393.675, -393.601
-965, -397.396, -396.726
-964, -398.677, -397.287
-963, -398.328, -397.417
-962, -396.588, -396.584
-961, -396.953, -395.193
-960, -397.636, -396.833
-959, -399.54, -397.523
-958, -398.697, -398.037
-957, -397.148, -396.964
-956, -396.788, -396.069
-955, -405.338, -405.264
-954, -431.423, -429.67
-953, -494.396, -492.63
-952, -542.933, -541.48
-951, -561.083, -559.929
-950, -563.978, -562.385
-949, -569.956, -569.882
-948, -573.993, -574.807
-947, -575.189, -573.902
-946, -576.764, -578.452
-945, -582.264, -582.161
-944, -585.357, -576.31
-943, -582.145, -581.452
-942, -586.535, -587.461
-941, -584.487, -584.412
-940, -584.4, -584.325
-939, -582.687, -582.612
-938, -584.512, -583.942
-937, -591.521, -593.184
-936, -587.615, -587.54
-935, -588.218, -588.143
-934, -587.786, -579.632
-933, -588.304, -588.034
-932, -588.094, -588.019
-931, -582.468, -582.393
-930, -583.425, -582.423
-929, -578.41, -570.569
-928, -575.571, -575.25
-927, -576.285, -576.21
-926, -574.95, -574.875
-925, -573.307, -573.232
-924, -572.402, -567.614
-923, -571.769, -571.587
-922, -568.983, -568.909
-921, -556.111, -556.039
-920, -529.518, -529.444
-919, -530.174, -530.099
-918, -528.882, -528.808
-917, -531.217, -531.142
-916, -527.448, -535.009
-915, -534.297, -536.301
-914, -531.219, -538.582
-913, -537.085, -537.979
-912, -536.132, -536.057
-911, -530.163, -536.222
-910, -531.38, -536.202
-909, -517.331, -533.159
-908, -530.55, -530.476
-907, -521.838, -521.763
-906, -466.748, -466.673
-905, -261.394, -261.319
-904, -247.747, -251.291
-903, -249.772, -249.698
-902, -252.482, -252.407
-901, -252.681, -252.607
-900, -246.962, -246.888
-899, -245.529, -247.269
-898, -249.799, -249.725
-897, -252.72, -252.645
-896, -250.189, -250.114
-895, -250.098, -250.025
-894, -246.405, -249.105
-893, -251.32, -252.245
